Provinsi,Internet_Perkotaan,Internet_Perdesaan,Internet_Total,Kemiskinan_Persen
ACEH,92.6,86.97,88.95,14.23
SUMATERA UTARA,94.77,89.05,92.3,7.99
SUMATERA BARAT,94.85,88.82,91.89,5.97
RIAU,97.26,92.12,94.16,6.67
JAMBI,93.01,89.41,90.59,7.1
SUMATERA SELATAN,94.82,88.72,90.94,10.97
BENGKULU,95.83,88.05,90.62,13.56
LAMPUNG,93.84,90.45,91.57,10.69
KEP. BANGKA BELITUNG,93.09,90.77,92.14,4.55
KEP. RIAU,98.68,87.65,97.57,5.37
DKI JAKARTA,98.18,,98.18,4.3
JAWA BARAT,92.83,82.2,90.58,7.46
JAWA TENGAH,91.12,86.44,88.89,10.47
DI YOGYAKARTA,91.71,82.34,89.5,10.83
JAWA TIMUR,90.64,82.22,86.9,9.79
BANTEN,94.98,84.91,93.02,5.84
BALI,94.74,85.25,92.16,4.0
NUSA TENGGARA BARAT,89.12,83.74,86.54,12.91
NUSA TENGGARA TIMUR,94.88,77.81,82.45,19.48
KALIMANTAN BARAT,96.47,90.31,92.65,6.32
KALIMANTAN TENGAH,96.46,88.79,92.13,5.17
KALIMANTAN SELATAN,92.04,86.44,89.22,4.11
KALIMANTAN TIMUR,96.69,92.74,95.45,5.78
KALIMANTAN UTARA,97.38,89.44,94.58,6.32
SULAWESI UTARA,92.57,85.19,89.31,7.25
SULAWESI TENGAH,94.62,84.59,87.94,11.77
SULAWESI SELATAN,96.23,88.59,92.18,8.06
SULAWESI TENGGARA,94.65,89.78,91.7,11.21
GORONTALO,94.25,86.61,90.17,14.57
SULAWESI BARAT,93.89,88.64,89.67,11.21
MALUKU,95.72,80.4,87.27,16.05
MALUKU UTARA,96.21,83.39,87.28,6.32
PAPUA BARAT,97.26,80.47,85.51,21.66
PAPUA BARAT DAYA,96.31,79.71,88.49,18.13
PAPUA,93.93,63.9,81.99,17.26
PAPUA SELATAN,90.76,51.7,65.71,17.44
PAPUA TENGAH,95.0,19.14,36.08,29.76
PAPUA PEGUNUNGAN,54.5,8.81,12.15,32.97
